shipment_id,date,year,month,month_number,quarter,origin,destination,route,mode,hs_code,product_description,weight_kg,weight_tonnes,value_usd,shipment_value_million,status,bill_of_lading,shipper,consignee,remarks,Delay_Time(hrs),delay_days,Delay_Reason,delay_flag,delay_status
ADGF-2029368,2023-01-02,2023,January,1,1,"Shenzhen, China","Los Angeles, USA","Shenzhen, China → Los Angeles, USA",Road,85423900,Stainless steel fasteners,1540.7,1.5407,5463.51,0.00546351,Delivered,BOL2271883831,A & D Global Freight Pvt. Ltd.,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2029647,2023-01-02,2023,January,1,1,"Rotterdam, Netherlands","Rotterdam, Netherlands","Rotterdam, Netherlands → Rotterdam, Netherlands",Sea,85171200,Freight / tax invoice (public doc),1416.7,1.4167,8115.31,0.00811531,Delivered,BOL7912544037,A & D Global Freight Pvt. Ltd.,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032882,2023-01-02,2023,January,1,1,"Mumbai, India","Ho Chi Minh City, Vietnam","Mumbai, India → Ho Chi Minh City, Vietnam",Sea,10063010,Stainless steel fasteners,1228.8,1.2288,6024.44,0.00602444,Delivered,BOL3522285970,TransIndia Cargo,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032938,2023-01-02,2023,January,1,1,"Shenzhen, China","Los Angeles, USA","Shenzhen, China → Los Angeles, USA",Sea,94036000,Freight / tax invoice (public doc),1416.6,1.4165999999999999,19492.25,0.01949225,Delivered,BOL5287811663,TransIndia Cargo,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2034171,2023-01-02,2023,January,1,1,"Bangkok, Thailand","London, UK","Bangkok, Thailand → London, UK",Air,30049099,LED lamps,847.0,0.847,7860.24,0.00786024,Delivered,BOL9482215061,A & D International,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2034302,2023-01-02,2023,January,1,1,"Shenzhen, China","London, UK","Shenzhen, China → London, UK",Sea,30049099,Wheat flour,9564.3,9.5643,15474.57,0.01547457,Delivered,BOL6453049908,Oceanic Logistics Co.,Global Retail Ltd.,Port congestion noted,0.0,0.0,No Delay,False,On Time
ADGF-2035912,2023-01-02,2023,January,1,1,"New Delhi, India","Melbourne, Australia","New Delhi, India → Melbourne, Australia",Air,7020010,Engine parts,1625.1,1.6251,19255.28,0.01925528,Delivered,BOL8970099989,Sunrise Exports,Global Retail Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2036914,2023-01-02,2023,January,1,1,"Ho Chi Minh City, Vietnam","Mumbai, India","Ho Chi Minh City, Vietnam → Mumbai, India",Sea,39232990,Freight / tax invoice (public doc),1027.8,1.0278,31754.75,0.03175475,Delivered,BOL6137042126,TransIndia Cargo,FreshFarms Importers,Port congestion noted,0.0,0.0,No Delay,False,On Time
ADGF-2025203,2023-01-03,2023,January,1,1,"Dubai, UAE","Ho Chi Minh City, Vietnam","Dubai, UAE → Ho Chi Minh City, Vietnam",Air,39232990,Ceramic tiles,2489.2,2.4892,5900.68,0.00590068,Delivered,BOL7161926234,Sunrise Exports,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2026423,2023-01-03,2023,January,1,1,"Shenzhen, China","Sydney, Australia","Shenzhen, China → Sydney, Australia",Air,Unknown,Frozen shrimp,922.8,0.9228,9981.73,0.00998173,Delivered,BOL9267000268,A & D International,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2026647,2023-01-03,2023,January,1,1,"Hamburg, Germany","Los Angeles, USA","Hamburg, Germany → Los Angeles, USA",Sea,10063010,Frozen shrimp,1275.5,1.2755,46975.36,0.04697536,Delivered,BOL6540434472,Sunrise Exports,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2027333,2023-01-03,2023,January,1,1,"Rotterdam, Netherlands","Rotterdam, Netherlands","Rotterdam, Netherlands → Rotterdam, Netherlands",Air,85171200,Plastic granules,1280.8,1.2808,4875.13,0.00487513,Delivered,BOL4240850441,Sunrise Exports,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2027842,2023-01-03,2023,January,1,1,"Shenzhen, China","Ho Chi Minh City, Vietnam","Shenzhen, China → Ho Chi Minh City, Vietnam",Sea,85423900,LED lamps,1704.4,1.7044000000000001,23273.62,0.02327362,Delivered,BOL7406186490,A & D International,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028657,2023-01-03,2023,January,1,1,"Bangkok, Thailand","Dubai, UAE","Bangkok, Thailand → Dubai, UAE",Air,85423900,Stainless steel fasteners,1292.2,1.2922,16605.94,0.01660594,Delivered,BOL2435522471,A & D International,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028797,2023-01-03,2023,January,1,1,"Dubai, UAE","Ho Chi Minh City, Vietnam","Dubai, UAE → Ho Chi Minh City, Vietnam",Sea,39232990,Freight / tax invoice (public doc),841.1,0.8411000000000001,20180.69,0.020180689999999998,Delivered,BOL1325720123,A & D International,Global Retail Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2029477,2023-01-03,2023,January,1,1,"Ho Chi Minh City, Vietnam","Sydney, Australia","Ho Chi Minh City, Vietnam → Sydney, Australia",Sea,Unknown,Paperboard rolls,1565.6,1.5655999999999999,37228.8,0.037228800000000006,Pending Pickup,BOL9235888279,TransIndia Cargo,Unknown (invoice),No Remarks,31.1,1.295833333333333,Vehicle Breakdown,True,Delayed
ADGF-2030218,2023-01-03,2023,January,1,1,"Shenzhen, China",Domestic,"Shenzhen, China → Domestic",Sea,94036000,Fresh white flesh dragon fruits (public trade sample),917.4,0.9174,25023.16,0.02502316,In Transit,BOL1945726801,A & D Global Freight Pvt. Ltd.,Techtronica Pvt. Ltd.,No Remarks,23.5,0.9791666666666666,Vehicle Breakdown,True,Delayed
ADGF-2030444,2023-01-03,2023,January,1,1,"Rotterdam, Netherlands","Mumbai, India","Rotterdam, Netherlands → Mumbai, India",Air,39232990,Processed spices (ground),244.9,0.2449,8293.79,0.00829379,Delivered,BOL7327269214,Sunrise Exports,ABC Importers Pvt. Ltd.,No Remarks,18.8,0.7833333333333333,Customs Clearance,True,Delayed
ADGF-2031187,2023-01-03,2023,January,1,1,"Los Angeles, USA",Singapore,"Los Angeles, USA → Singapore",Sea,85423900,Textile rolls (cotton),570.3,0.5702999999999999,7389.92,0.00738992,Delivered,BOL8853921462,A & D Global Freight Pvt. Ltd.,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2034979,2023-01-03,2023,January,1,1,"Shenzhen, China","New Delhi, India","Shenzhen, China → New Delhi, India",Sea,85171200,Freight / tax invoice (public doc),277.2,0.2772,59730.69,0.05973069,In Transit,BOL5744634787,Sunrise Exports,Global Retail Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2035681,2023-01-03,2023,January,1,1,"Rotterdam, Netherlands","New York, USA","Rotterdam, Netherlands → New York, USA",Sea,Unknown,Paperboard rolls,644.5,0.6445,11624.91,0.01162491,Delivered,BOL5765859932,Oceanic Logistics Co.,Global Retail Ltd.,Manual verification completed,0.0,0.0,No Delay,False,On Time
ADGF-2035799,2023-01-03,2023,January,1,1,"Dubai, UAE","Melbourne, Australia","Dubai, UAE → Melbourne, Australia",Sea,85423900,Fresh white flesh dragon fruits (public trade sample),692.7,0.6927000000000001,11248.12,0.01124812,Delivered,BOL6185863187,TransIndia Cargo,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2036254,2023-01-03,2023,January,1,1,"Kochi, India","London, UK","Kochi, India → London, UK",Sea,85423900,Cocoa beans,1790.0,1.79,6146.91,0.00614691,Delivered,BOL8107422712,TransIndia Cargo,HomeStyle Furnitures,No Remarks,18.8,0.7833333333333333,Traffic Issue,True,Delayed
ADGF-2036590,2023-01-03,2023,January,1,1,"Los Angeles, USA","Los Angeles, USA","Los Angeles, USA → Los Angeles, USA",Sea,8109090,Freight / tax invoice (public doc),957.6,0.9576,2265.79,0.00226579,Delivered,BOL1040093927,A & D Global Freight Pvt. Ltd.,Unknown (trade database),Routine shipment,19.8,0.8250000000000001,Documentation Error,True,Delayed
ADGF-2036697,2023-01-03,2023,January,1,1,"Kochi, India","London, UK","Kochi, India → London, UK",Sea,7020010,Freight / tax invoice (public doc),620.0,0.62,10142.57,0.01014257,Pending Pickup,BOL1772969217,Oceanic Logistics Co.,HomeStyle Furnitures,No Remarks,13.0,0.5416666666666666,Customs Clearance,True,Delayed
ADGF-2026713,2023-01-04,2023,January,1,1,"Shenzhen, China",Singapore,"Shenzhen, China → Singapore",Air,30049099,Ceramic tiles,3958.7,3.9587,6786.19,0.006786189999999999,Delivered,BOL4663290276,TransIndia Cargo,FreshFarms Importers,No Remarks,17.2,0.7166666666666667,Traffic Issue,True,Delayed
ADGF-2026986,2023-01-04,2023,January,1,1,"Los Angeles, USA","New Delhi, India","Los Angeles, USA → New Delhi, India",Sea,8109090,Plastic granules,907.2,0.9072,3400.63,0.00340063,Delivered,BOL4180179441,A & D Global Freight Pvt. Ltd.,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028466,2023-01-04,2023,January,1,1,"New Delhi, India",Singapore,"New Delhi, India → Singapore",Air,30049099,Wheat flour,3810.9,3.8109,4946.02,0.004946020000000001,Delivered,BOL5748820494,Oceanic Logistics Co.,Unknown (trade database),No Remarks,25.0,1.041666666666667,Scheduling Error,True,Delayed
ADGF-2028791,2023-01-04,2023,January,1,1,"Kochi, India","Los Angeles, USA","Kochi, India → Los Angeles, USA",Sea,8109090,Engine parts,1044.4,1.0444,27343.27,0.02734327,Pending Pickup,BOL7151668217,A & D Global Freight Pvt. Ltd.,FreshFarms Importers,No Remarks,18.2,0.7583333333333333,Customs Clearance,True,Delayed
ADGF-2029039,2023-01-04,2023,January,1,1,"Dubai, UAE","Sydney, Australia","Dubai, UAE → Sydney, Australia",Air,10063010,Pharmaceutical tablets,173.3,0.1733,72230.71,0.07223071,Delivered,BOL9524225898,Oceanic Logistics Co.,Global Retail Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030270,2023-01-04,2023,January,1,1,"Hamburg, Germany","London, UK","Hamburg, Germany → London, UK",Sea,85171200,Engine parts,681.9,0.6819,13440.68,0.01344068,In Transit,BOL4637715372,Oceanic Logistics Co.,ABC Importers Pvt. Ltd.,No Remarks,4.1,0.1708333333333333,Customs Clearance,True,Delayed
ADGF-2030517,2023-01-04,2023,January,1,1,"Ho Chi Minh City, Vietnam","Rotterdam, Netherlands","Ho Chi Minh City, Vietnam → Rotterdam, Netherlands",Air,85171200,Frozen shrimp,1540.8,1.5408,13584.69,0.01358469,Delivered,BOL4685043857,Sunrise Exports,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030586,2023-01-04,2023,January,1,1,"Kochi, India","Kolkata, India","Kochi, India → Kolkata, India",Air,85171200,Processed spices (ground),1079.1,1.0791,4977.18,0.00497718,Delivered,BOL1471615099,TransIndia Cargo,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2031331,2023-01-04,2023,January,1,1,"Dubai, UAE",Singapore,"Dubai, UAE → Singapore",Sea,85171200,Ceramic tiles,3904.7,3.9046999999999996,37337.27,0.03733727,Delivered,BOL4398777321,Oceanic Logistics Co.,Unknown (trade database),No Remarks,26.2,1.091666666666667,Documentation Error,True,Delayed
ADGF-2031985,2023-01-04,2023,January,1,1,"Los Angeles, USA","Los Angeles, USA","Los Angeles, USA → Los Angeles, USA",Air,85423900,Fresh dragon fruit,4293.2,4.2932,9529.06,0.009529059999999999,Delivered,BOL7532032323,A & D Global Freight Pvt. Ltd.,Unknown (invoice),Customer requested priority handling,0.0,0.0,No Delay,False,On Time
ADGF-2032065,2023-01-04,2023,January,1,1,"Jakarta, Indonesia",Domestic,"Jakarta, Indonesia → Domestic",Sea,Unknown,Lithium batteries (packets),240.9,0.2409,10748.73,0.01074873,Delivered,BOL1127649230,Sunrise Exports,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032662,2023-01-04,2023,January,1,1,"Shanghai, China","Melbourne, Australia","Shanghai, China → Melbourne, Australia",Sea,39232990,Lithium batteries (packets),171.6,0.1716,29670.03,0.02967003,Delivered,BOL6939889064,A & D International,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2034190,2023-01-04,2023,January,1,1,"Sydney, Australia","Sydney, Australia","Sydney, Australia → Sydney, Australia",Sea,Unknown,Furniture (assembled),1210.9,1.2109,3349.31,0.00334931,Customs Hold,BOL5229729870,TransIndia Cargo,Unknown (invoice),No Remarks,9.4,0.3916666666666667,Scheduling Error,True,Delayed
ADGF-2035501,2023-01-04,2023,January,1,1,"Istanbul, Turkey","Chennai, India","Istanbul, Turkey → Chennai, India",Sea,10063010,Printed circuit boards,415.5,0.4155,13302.225,0.013302225,Delivered,BOL8504863966,A & D International,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2035698,2023-01-04,2023,January,1,1,"Rotterdam, Netherlands",India,"Rotterdam, Netherlands → India",Air,94036000,LED lamps,899.2,0.8992,14841.2,0.0148412,Delivered,BOL5957389168,Sunrise Exports,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2035836,2023-01-04,2023,January,1,1,"Bangkok, Thailand",India,"Bangkok, Thailand → India",Sea,85171200,Lithium batteries (packets),150.0,0.15,40056.65,0.04005665,Delivered,BOL5765367965,A & D Global Freight Pvt. Ltd.,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2036297,2023-01-04,2023,January,1,1,"Istanbul, Turkey","Mumbai, India","Istanbul, Turkey → Mumbai, India",Sea,7020010,Lithium batteries (packets),168.7,0.1687,34329.42,0.03432942,Delivered,BOL8247002793,TransIndia Cargo,Techtronica Pvt. Ltd.,No Remarks,41.0,1.708333333333333,Technical Glitch,True,Delayed
ADGF-2036520,2023-01-04,2023,January,1,1,"Los Angeles, USA","Bengaluru, India","Los Angeles, USA → Bengaluru, India",Sea,10063010,Frozen shrimp,1044.4,1.0444,19747.5,0.0197475,Pending Pickup,BOL5629004144,Sunrise Exports,ABC Importers Pvt. Ltd.,Routine shipment,20.5,0.8541666666666666,Vehicle Breakdown,True,Delayed
ADGF-2025102,2023-01-05,2023,January,1,1,Vietnam (unspecified),"Sydney, Australia","Vietnam (unspecified) → Sydney, Australia",Air,30049099,Plastic granules,1823.8,1.8237999999999999,22925.6,0.022925599999999997,Delivered,BOL7482099025,Sunrise Exports,Unknown (trade database),Delivery appointment rescheduled,0.0,0.0,No Delay,False,On Time
ADGF-2025505,2023-01-05,2023,January,1,1,"Jakarta, Indonesia",India,"Jakarta, Indonesia → India",Sea,85171200,Lithium batteries (packets),161.1,0.1611,16363.15,0.01636315,Delivered,BOL4248180755,Oceanic Logistics Co.,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2025631,2023-01-05,2023,January,1,1,"Bangkok, Thailand","Rotterdam, Netherlands","Bangkok, Thailand → Rotterdam, Netherlands",Sea,7020010,Paperboard rolls,1156.7,1.1567,19099.83,0.01909983,Delivered,BOL3330079773,Sunrise Exports,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2026670,2023-01-05,2023,January,1,1,"Bangkok, Thailand","Dubai, UAE","Bangkok, Thailand → Dubai, UAE",Sea,Unknown,LED lamps,981.4,0.9813999999999999,60826.71,0.06082671,Delivered,BOL7159313311,Sunrise Exports,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2027891,2023-01-05,2023,January,1,1,Vietnam (unspecified),"Los Angeles, USA","Vietnam (unspecified) → Los Angeles, USA",Sea,85171200,Wheat flour,1680.7,1.6807,13302.225,0.013302225,Delivered,BOL5087165035,Oceanic Logistics Co.,Global Retail Ltd.,No Remarks,70.8,2.95,Traffic Issue,True,Delayed
ADGF-2027900,2023-01-05,2023,January,1,1,"Kochi, India","Rotterdam, Netherlands","Kochi, India → Rotterdam, Netherlands",Air,85171200,Printed circuit boards,209.3,0.2093,152803.93,0.15280393,Pending Pickup,BOL3705682424,Sunrise Exports,Unknown (invoice),Delivery appointment rescheduled,20.4,0.85,Weather Delay,True,Delayed
ADGF-2027960,2023-01-05,2023,January,1,1,"Ho Chi Minh City, Vietnam",Domestic,"Ho Chi Minh City, Vietnam → Domestic",Air,Unknown,Stainless steel fasteners,1828.4,1.8284,14702.08,0.01470208,Delivered,BOL9574237523,TransIndia Cargo,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028429,2023-01-05,2023,January,1,1,"Shenzhen, China","Bengaluru, India","Shenzhen, China → Bengaluru, India",Sea,8109090,Smartphone units,114.1,0.1141,43114.59,0.043114589999999994,In Transit,BOL5646431041,Oceanic Logistics Co.,Unknown (trade database),No Remarks,6.0,0.25,Vehicle Breakdown,True,Delayed
ADGF-2029412,2023-01-05,2023,January,1,1,"Bangkok, Thailand","Kolkata, India","Bangkok, Thailand → Kolkata, India",Sea,7020010,Paperboard rolls,885.0,0.885,9970.79,0.00997079,Delivered,BOL3509813018,A & D Global Freight Pvt. Ltd.,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2029725,2023-01-05,2023,January,1,1,"Dubai, UAE","Dubai, UAE","Dubai, UAE → Dubai, UAE",Sea,30049099,Printed circuit boards,175.3,0.1753,29768.2,0.0297682,Delivered,BOL7128854858,A & D International,HomeStyle Furnitures,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030348,2023-01-05,2023,January,1,1,"Mumbai, India","Melbourne, Australia","Mumbai, India → Melbourne, Australia",Air,94036000,Smartphone units,189.1,0.1891,102532.49,0.10253249,Delivered,BOL6111640620,Sunrise Exports,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030618,2023-01-05,2023,January,1,1,"Los Angeles, USA","Los Angeles, USA","Los Angeles, USA → Los Angeles, USA",Sea,7020010,Stainless steel fasteners,2134.2,2.1342,31950.96,0.03195096,Delivered,BOL3686269159,TransIndia Cargo,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2031714,2023-01-05,2023,January,1,1,"Mumbai, India","Los Angeles, USA","Mumbai, India → Los Angeles, USA",Sea,85171200,Stainless steel fasteners,1605.1,1.6051,9028.68,0.00902868,Delivered,BOL8132551365,A & D International,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032461,2023-01-05,2023,January,1,1,"Rotterdam, Netherlands","Bengaluru, India","Rotterdam, Netherlands → Bengaluru, India",Sea,94036000,Stainless steel fasteners,1830.5,1.8305,13587.57,0.01358757,Delivered,BOL2489959729,Sunrise Exports,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2033593,2023-01-05,2023,January,1,1,"Bangkok, Thailand",Singapore,"Bangkok, Thailand → Singapore",Sea,94036000,Lithium batteries (packets),96.3,0.0963,23354.48,0.02335448,Delivered,BOL5635309268,Oceanic Logistics Co.,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2034010,2023-01-05,2023,January,1,1,"Bangkok, Thailand","Melbourne, Australia","Bangkok, Thailand → Melbourne, Australia",Air,7020010,Lithium batteries (packets),132.8,0.1328,23362.32,0.02336232,Delivered,BOL3863835513,TransIndia Cargo,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2034150,2023-01-05,2023,January,1,1,"Sydney, Australia","Rotterdam, Netherlands","Sydney, Australia → Rotterdam, Netherlands",Air,8109090,Plastic granules,1185.7,1.1857,19454.85,0.01945485,Delivered,BOL5885285342,Oceanic Logistics Co.,HomeStyle Furnitures,No Remarks,15.5,0.6458333333333334,Technical Glitch,True,Delayed
ADGF-2034206,2023-01-05,2023,January,1,1,"Seattle, USA",Domestic,"Seattle, USA → Domestic",Sea,30049099,Paperboard rolls,1512.4,1.5124000000000002,40977.57,0.04097757,Delivered,BOL2675468975,Oceanic Logistics Co.,FreshFarms Importers,Documentation review required,0.0,0.0,No Delay,False,On Time
ADGF-2036433,2023-01-05,2023,January,1,1,"Shanghai, China","Ho Chi Minh City, Vietnam","Shanghai, China → Ho Chi Minh City, Vietnam",Air,30049099,Plastic granules,4517.0,4.517,38823.95,0.038823949999999996,Delivered,BOL4625261485,TransIndia Cargo,Techtronica Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2036511,2023-01-05,2023,January,1,1,"Sydney, Australia","Melbourne, Australia","Sydney, Australia → Melbourne, Australia",Sea,Unknown,Cocoa beans,1201.5,1.2015,2973.81,0.00297381,In Transit,BOL1910123688,TransIndia Cargo,ABC Importers Pvt. Ltd.,No Remarks,43.9,1.829166666666667,Traffic Issue,True,Delayed
ADGF-2025162,2023-01-06,2023,January,1,1,"Ho Chi Minh City, Vietnam","London, UK","Ho Chi Minh City, Vietnam → London, UK",Sea,7020010,Pharmaceutical tablets,158.8,0.15880000000000002,43985.14,0.04398514,Customs Hold,BOL4549471634,Oceanic Logistics Co.,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2025314,2023-01-06,2023,January,1,1,"Ho Chi Minh City, Vietnam","Los Angeles, USA","Ho Chi Minh City, Vietnam → Los Angeles, USA",Sea,30049099,Processed spices (ground),2314.4,2.3144,8224.36,0.00822436,In Transit,BOL6519322978,A & D International,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2025941,2023-01-06,2023,January,1,1,"Mumbai, India","New York, USA","Mumbai, India → New York, USA",Air,7020010,Pharmaceutical tablets,36.0,0.036,35833.27,0.03583326999999999,Delivered,BOL4525422441,A & D Global Freight Pvt. Ltd.,Global Retail Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2026218,2023-01-06,2023,January,1,1,"Rotterdam, Netherlands","Melbourne, Australia","Rotterdam, Netherlands → Melbourne, Australia",Air,30049099,Plastic granules,859.3,0.8593,8078.09,0.00807809,Delivered,BOL7630075308,A & D International,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2026262,2023-01-06,2023,January,1,1,"Ho Chi Minh City, Vietnam","Sydney, Australia","Ho Chi Minh City, Vietnam → Sydney, Australia",Sea,8109090,Lithium batteries (packets),199.2,0.1992,53861.24,0.05386124,Delivered,BOL2498728328,Sunrise Exports,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028506,2023-01-06,2023,January,1,1,"Hamburg, Germany","Mumbai, India","Hamburg, Germany → Mumbai, India",Sea,39232990,Plastic granules,568.8,0.5688,5070.59,0.00507059,Delivered,BOL7912351289,TransIndia Cargo,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2029416,2023-01-06,2023,January,1,1,Vietnam (unspecified),"London, UK","Vietnam (unspecified) → London, UK",Sea,8109090,Lithium batteries (packets),479.6,0.4796,10312.34,0.01031234,Delivered,BOL3517220287,Sunrise Exports,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030563,2023-01-06,2023,January,1,1,"Bangkok, Thailand","New York, USA","Bangkok, Thailand → New York, USA",Sea,8109090,Freight / tax invoice (public doc),411.3,0.4113,3282.18,0.00328218,In Transit,BOL4278647500,A & D International,Unknown (trade database),No Remarks,19.4,0.8083333333333332,Port Congestion,True,Delayed
ADGF-2031103,2023-01-06,2023,January,1,1,"Rotterdam, Netherlands",Domestic,"Rotterdam, Netherlands → Domestic",Sea,30049099,Freight / tax invoice (public doc),1153.5,1.1535,22029.51,0.02202951,Delivered,BOL2806925420,A & D Global Freight Pvt. Ltd.,FreshFarms Importers,Delivery appointment rescheduled,0.0,0.0,No Delay,False,On Time
